"Unit","Weight"
100,6747
101,3767
102,3767
103,6747
104,4675
105,4548
106,4633
107,4548
109,6376
111,4570
112,6551
113,6147
114,4675
115,3597
116,4675
117,3442
118,10956
119,6747
121,3767
200,6747
201,3767
202,3767
203,6747
204,4675
205,4548
206,4633
207,4548
209,6376
210,4463
211,4570
212,8028
213,6147
214,4675
215,4505
216,4675
217,4548
218,6747
219,6747
220,3767
221,3767
300,6747
301,3767
303,10514
304,4675
305,4548
306,4633
307,4548
308,4740
309,6376
310,4463
311,4570
312,8028
313,6147
314,4675
315,4505
316,4675
317,4548
318,6747
319,6747
320,3767
321,3767
400,6747
401,3767
402,3767
403,6747
404,4675
405,4548
406,4633
407,4548
408,4740
409,6376
410,4463
411,4570
412,8028
413,6147
414,4675
415,4505
416,4675
417,4548
418,6747
419,6747
420,3767
421,3767
500,6747
501,3767
502,3767
503,6747
504,4675
505,4548
506,4633
507,4548
508,4740
509,6376
510,4463
511,4570
512,8028
513,6147
514,4675
515,4505
516,4675
517,4548
518,6747
519,6747
520,3767
521,3767
600,6747
601,3767
602,3767
603,6747
604,4675
605,4548
606,4633
607,4548
608,4740
609,6376
610,4463
611,4570
612,8028
613,6147
614,4675
615,4505
616,4675
617,4548
618,6747
619,6747
620,3767
621,3767
700,6747
701,3767
702,3767
703,6747
704,4675
705,4547
706,4633
707,4548
708,4740
709,6376
710,4463
711,4570
712,8028
713,6147
714,4675
715,4505
716,4675
717,4548
718,6747
719,6747
720,3767
721,3767
800,6747
801,3767
802,3767
803,6747
804,4675
805,4548
806,4633
807,4547
808,4740
809,6376
810,4463
811,4570
812,8028
813,6147
814,4675
815,4505
816,4675
817,4548
818,6747
819,6747
820,3767
821,3767
900,10514
903,10918
904,4675
905,4548
906,4633
907,4548
908,4740
909,6376
910,4463
911,4570
912,8028
913,6147
914,4675
915,4505
916,4675
917,4548
918,6747
919,8410
920,3767
